E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0066;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Annuska                                           ;Dal Maso                                          ;2;041;kohtaavan työn päällikkö                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0067;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mia                                               ;Haglund                                           ;2;037;generalsekreterare, politices magister                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;SV; ; ;1; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0068;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Toivo                                             ;Haimi                                             ;1;033;toimittaja, journalist                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0069;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Titta                                             ;Hiltunen                                          ;2;030;vaikuttamisen asiantuntija                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0070;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Veronika                                          ;Honkasalo                                         ;2;047;kansanedustaja, valtiotieteiden tohtori, riksdagsledamot, politices doktor                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;EKV-2019  ;0005846;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0071;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kaarle                                            ;Hurtig                                            ;1;040;yrittäjä, toimittaja                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000627;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0072;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Antti                                             ;Kaajakari                                         ;1;041;sosiaaliohjaaja                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0073;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Maija                                             ;Karhunen                                          ;2;035;projektijohtaja, tanssija                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0074;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mai                                               ;Kivelä                                            ;2;040;kansanedustaja, Master of Arts                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;EKV-2019  ;0006790;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0075;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Markku                                            ;Kivinen                                           ;1;071;professori emeritus, yhteiskuntatieteilijä                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0076;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Minja                                             ;Koskela                                           ;2;035;yhteiskuntatieteiden maisteri, musiikin tohtori                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0077;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Noora                                             ;Laak                                              ;2;037;arkkitehti                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0078;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anna                                              ;Lemström                                          ;2;028;opetusministerin erityisavustaja, valtiotieteiden kandidaatti                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0079;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ajak                                              ;Majok                                             ;2;025;tanssitaiteilija                                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;98; ; ; ; ;EKV-2019  ;0001993;
